Player: 	Alts
('SPIKE!',)	('SPIKE!',)
('Ronin',)	('Ronin',)
('stone',)	('stone',)
('Chunkysauce',)	('Chunkysauce',)
('Supper',)	('Supper',)
('Bayless',)	('Bayless',)
('Spankr',)	('FAT | Spankr',)
('CdTug',)	('CDTUG',)	('CdTug',)
('soulrack',)	('Soulrack',)
('Psyoh',)	('Psyoh',)
('DM',)	('DM',)
('AceGriddles',)	('AceGriddles',)
('Snugs',)	('Snugs',)
('Scrub',)	('Scrub',)
('Flow',)	('Flow',)
('spiNR',)	('spiNR',)
('seepy',)	('seepy',)
('Stringz',)	('Stringz',)
('Greg',)	('Greg',)
('Chameleon',)	('chameleon',)	('Chameleon',)
('RisingWalsh',)	('RisingWalsh',)
('emensti',)	('emensti',)
('thrill',)	('thrill',)
('Jericho',)	('Jericho',)
('Mac_McBride',)	('Mac_McBride',)
('Young Night Train',)	('SDC | Young Night Train',)
('Aerial',)	('Aerial',)
('Da Chop',)	('Da Chop',)
('MrDudeIII',)	('MrDudeIII',)
('BMillion',)	('BMillion',)
('Dravus',)	('Dravus',)
('Ninten',)	('lotuskosal',)	('Ninten',)
('IvUsaur',)	('IvUsaur',)
('Ian',)	('Ian',)
('DatsDavisss',)	('DatsDavisss',)
('munch glue',)	('IEatGlue',)	('munch glue',)
('mahdi',)	('mahdi',)
('TesraKumo',)	('TesraKumo',)
('Evil doer',)	('evildoer',)	('Evil doer',)
('math',)	('math',)
('2D',)	('2D',)
('DefectoAce',)	('DefectoAce',)
('GMT',)	('GMT',)
('Rivkalia',)	('Rivkalia',)
('Jard',)	('Jard',)
('SWAG',)	('Swag',)
('LiquidCake',)	('Lcake | LiquidCake',)
('Spagon',)	('Spagon',)
('Kumis',)	('Kumis',)
('Nanukka',)	('Nanukka',)
('Deez',)	('Deez',)
('Knuckle Sandwich',)	('Knuckle Sandwich',)
('AnimeniacJD',)	('AnimeniacJD',)
('Flats',)	('FN | Flats',)
('Royal (Melee)',)	('Royal',)
('Flinzul',)	('THB | Flinzul',)
('Pickl',)	('Pickl',)
('Retro',)	('Retro',)
('Rexdamage',)	('Rexdamage',)
('ep',)	('ep',)
('Zetnea',)	('GDS | Zetnea',)
('CJApplegate',)	('CJApplegate',)
('Ben10',)	('Ben10',)
('chock',)	('chock',)
('Pktired',)	('Pktired',)
('TanMan',)	('TanMan',)
('vergil4dlc',)	('vergil4dlc',)
('Juraf',)	('Juraf',)
('lolstreet',)	('lolstreet',)
('mugfase',)	('mugfase',)
('IciclePop0K',)	('IciclePop0K',)
('XM',)	('SG | XM',)
('Sham!',)	('Sham!',)
('Zeldris',)	('LG Zeldris | Zeldris',)
('PickNick',)	('PickNick',)
('Owl',)	('Owl',)
('Cheezy',)	('Cheezy',)
('Curly',)	('Curly',)
('Monke',)	('POOP | Monke',)
('Mr.Cookie',)	('POOP | Mr.Cookie',)
('Vertiar',)	('Vertiar',)
